Sample	total_reads	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
hisat2_Female_V_H_1	29447787	29447787	1896743	26538720	1012324	93.56											
hisat2_Female_V_H_2	21852130	21852130	1412877	19806046	633207	93.53											
hisat2_Female_V_OV_1	22188237	22188237	619779	21144192	424266	97.21											
hisat2_Female_V_OV_2	22964123	22964123	691106	21869237	403780	96.99											
hisat2_Female_V_RT_1	42005413	42005413	2240230	38217982	1547201	94.67											
hisat2_Female_V_RT_2	36750845	36750845	1939777	33401801	1409267	94.72											
hisat2_Female_V_RT_3	51539988	51539988	2783255	46765656	1991077	94.6											
hisat2_Male_AG_1	16172581					89.36	16172581	3695207	11632735	844639	163907	3440208	3288217	334175	167087.5	1720104.0	1644108.5
hisat2_Male_AG_2	47155350	47155350	10406272	34413758	2335320	77.93											
hisat2_Male_AG_3	37498435	37498435	5105239	30893316	1499880	86.39											
hisat2_Male_CR_1	15133571					92.92	15133571	2469460	11647023	1017088	176597	2144012	2139741	301973	150986.5	1072006.0	1069870.5
hisat2_Male_CR_2	21180074	21180074	3041665	14738481	3399928	85.64											
hisat2_Male_CR_3	20651676	20651676	4233567	14832768	1585341	79.5											
hisat2_Male_EB_1	53484728	53484728	7044901	44183598	2256229	86.83											
hisat2_Male_EB_2	24988526	24988526	4814745	19565106	608675	80.73											
hisat2_Male_TS_1	26854579					93.61	26854579	3734602	22625759	494218	242785	3433389	3364646	185599	92799.5	1716694.5	1682323.0
hisat2_Male_TS_2	31556027	31556027	2042126	28655683	858218	93.53											
hisat2_Male_TS_3	32925441	32925441	2297650	29912303	715488	93.02											
